"seller_id","postal_code"
"1d4d325f6e9a8b3e2a34ba45c6fab13b",1248188
"251058403151a0d80eb4fee3e2ee408c",1238658
"851a7816c5034f490621cc8e2335b4c2",1240950
"85fe9bc9e765ea6599ee57efb7375802",1245530
"2ebd36cec0aa8bd78760114725fbdfa1",1248150
"c4f535f0046e093069805d85c701de08",1241013
"495cc40c06bb0602f167b90f70f728c9",1235774
"471dee2fe1dda39bd110afa214cd85b2",1248992
"aaee05081e1dba4bca16a57b1ed5c6a1",1244136
"497ef0e587f236395e6c72224af026b7",1240096
"ad4131a7e3714a732911ed1d92203390",1237160
"9162ce4979075b9a9cbbac81b5836e9d",1248478
"6c147faa27bd310a9c01749ca4f92398",1243991
"efd4a11e8cc2e552b41f16ceb54e1dd8",1246282
"047e77be3d05d8909a8b57f2c23ff521",1243463
"96099441a8d04901e43d8201c4b34050",1235215
"a06db1fd58b2b10a6d31fc0a9c289131",1243476
"3a198bdc450fa83b54d08cdd9b5d5f62",1236208
"0393bea54f9cc616a531d16e643e585f",1235482
"db145c731edfdc066eaffad795312425",1246175
"25fa5c23abe1ba58cbfb86ac71549eec",1247826
"b66eb3c17657bf2d0585e12c1fd22d42",1248761
"f9fc23780dee46890cbee54d02cca02e",1245498
"323ae740454610956abda40814665eb1",1248360
"3f6624c901b1e567739f1098889aed60",1243178
"28c35dae73f9b02746e938c0a2034e35",1237423
"2550dfe06d62ee2048096d4add7c3ac9",1240749
"650ffa54a372a1bc79cf0b20653e6a8a",1247730
"7b88d5757ace590ed4eaae72a38c998c",1246001
"116fc0329f2b74dce2c14c22b49ad7a2",1242554
"3db8153847946cf4fec520ed1837578c",1240090
"67a7dcd52cac9b4ef427df49ac6d76ec",1244321
"02a84590031d35e320c69f7f07cdc438",1243431
"201e997e371aa58b1438367546396743",1245114
"9ae0afff04b1f914995fa6514cafa583",1238339
"6a9bb2307b759e471f3c57f24eec8f90",1249148
"ad193d98393aeff0929d3ad9675f5f74",1247098
"84e54896b94f42b989a84e29b59c46d7",1240237
"c05bff30fa465d38b021295f6056db72",1245043
"cb11bb3189190f7bd960edf3c2570628",1245475
"a75e134e66dfa59116d9b2a72943d097",1234721
"7058547a5482b50700db0812402a14ab",1236183
"0524b2b3c6745e7fa109371587dea49d",1243468
"117970590dd7d44ed8344fab09eea4fd",1236975
"9799dba82508a60f16f12c168d94adcf",1248412
"8b359c7968fdd0bba367fc1df0fb2bc8",1242461
"b92d1cec4f0319adde62b42029151f6c",1238330
"ba74273e488b7f8224d37675bac17381",1237557
"1f4c4be72599b9e4ee2ce63f61c25e86",1237516
"9db2492904488edae7c1bdc61b91abf3",1247549
"618f254513dbf472b58ba1bb5cd907d9",1245886
"bb7326d51fd2e67c482647527f2a1aeb",1246665
"36bdc530a418b2f3e2f51525e7d8bd3c",1248324
"81340f84232026756dffe75e8c489a7a",1243624
"99367cf12c9e13bb5d8463ef24bdcf01",1247831
"06c586a88f972c0ab1eef57961855651",1242137
"7dae04320ce432c593c0f4a57d936656",1243416
"9c80ebd591f7ea779515f7d3a09b92c5",1241610
"f8eac2bdaa13a2974c6a974be66e4299",1242816
"fc195efae91d6045fea8aa401369c7b2",1240350
"0f5eab68d2ec3b3a980be51b949b5cbb",1246830
"95810e83f8d3c50e39d940b8d8ed7fca",1247524
"08443277d121597788eeee480f39875a",1248489
"9a96ec58fcdb29cc0d7adafd237cc42c",1246643
"4e7fa52dd534feaf1093d5c5cb65fb70",1248765
"da49cab3c6dafb879f715c50ea311afd",1246510
"3b6592d4894fb61c4b61d7ce5cec1281",1240229
"12ca0449f19997b3f916a615a25e70be",1245219
"d2fe01d5b56469c061a73df7bfb75ed7",1246778
"116dc8e8ba7e7ec5281c259738e0f08d",1246681
"be6dbdef840f832592bfe772db9e752d",1237550
"2341e46b16b2668c1ec57f76fe8bf0ef",1245121
"54fe198f2fba624a70855d7b7e4a70c3",1243617
"a3451e2af3c9eec9fcef2132f8969b5e",1238485
"cb5c5907b29f8f1e2e0f0bdd850ef239",1237589
"44728335a90158d0d283708bd63313de",1243659
"d53f5165c2efeecb39f40ef01e51a453",1248765
"ecb5d05d7104de50fa3e9f8c277aeca5",1247686
"cefb9f9d00f6ac86ad00f97931bca86f",1236917
"ad4038cd682a987c655f814a68f1eaf9",1236704
"bd48c1c85966e837665279b82877c80d",1248911
"9e644bd84855f0a0183c298682c85c8a",1247581
"d7888e24f12adce7f9a2af6a1f17943d",1245904
"2f9f538d98b90fe03beba4a6eaa6e194",1248755
"c82de66e4fd14dc560668c3f8d2b4105",1249482
"bcae1de5f8436b10f108646d813e262f",1246878
"37ec4b2d1a9ebc6ab19891e4ee69dfc8",1243593
"d3b712b6f6c283e3257e5caf0bfbaba8",1245587
"b6ed3925439f539307c1d65ce9d982c8",1249194
"ff27e2453aca9df754fb68c69ad10265",1241056
"e1d503c6d7d2e4043a6384ae3b59677f",1248750
"87d0fa89400ddc6b2eb4c124cc298de2",1241191
"7e099b34d53dacf0cff4d00de3306b1f",1243950
"a1dd26cf00939a67a3de27d576a74621",1241478
"15b26dcbf9b52fb9d421c75117dd4b8b",1246541
"d72d62d66e21cbfb3a74a5ddced03f8b",1238439
"a5c9196adf87df56bb1b04520d270312",1247541
"5160a8afd8f05758d0d935dc8b011ea8",1248974
"4c289b974a57fb9db5e5aef3cc27878b",1245121
"f6721ecf4c48f726bd805e59b2653182",1237537
"ab1fb8dbdfd5fe4911ecf00aed3d735a",1241010
"1a2de9b318d83570bebbd5e683b5eae1",1240955
"b7078163ea41a446c8441a5e3bd81d0c",1248765
"37efbcbe18f2cb31659d07fe87b8d8e1",1241571
"f153ef89f99b8bf9b0503f49f5bbe8e4",1244082
"bdf0f6585c58686398c5f78d1a299893",1249471
"4eed7af4e4dc442d1df6d448a0758799",1248555
"0541416eefe3bb58dac444d81f5d566a",1248733
"ba6d72e3d643fc4906ddd1f2e045ace0",1241988
"514af7db63762442a7f2c7a543f110c0",1248360
"7aae03e95293238998530157dc4a4f5e",1248470
"18dbbe45eabdff01f9fcfe8c0113f2ae",1240645
"0def8c7260684f3854225afd8a602456",1246145
"0b483eaece5befd4d6c9ed65f25fc302",1248610
"fe94fc31bbaba7b75c07d876bf77ea49",1236592
"9756cdbf1e13db1992187dfa1ef0f4e3",1238266
"096cde9ad1917c54769bc421e8fd0b55",1245564
"98f3747a7917a5eef3299f51a862c5f6",1248826
"64bbe2e27db0c5e45b2ba0956526f6f7",1248765
"a4f43d5fb43c52f63d383f609030cc81",1245078
"98cc73e8a4c44290c9f33c3f86377f15",1236274
"360586bc85f937ff2073986bdd647d1f",1246798
"2f946ffc6dc0e8abe918070e1545f1dc",1243932
"cd0650da19954f499591487de3a11bd0",1243504
"11f6032c59256408c441bd5e2b59b884",1236170
"0655036e04c47850123dcf003ef4dd73",1244349
"08dfba3c25e46d966a5d6134d8074162",1244164
"2b7d6aa79053c8dea5dab0a79e128759",1238958
"5a8f08b800a0842d85903b83db390844",1248496
"c33b73035a66001ad87b02e12541d5a2",1239758
"21b3aa08a8c20b580c5b67a7b446667d",1244949
"5f2a79bf0b222e38d7be0bc4b50cdb92",1240974
"5c7a2aff8973a0060aa767f0c8eadba1",1240569
"a700e61500507cdb6001578bc51c6fd8",1241307
"6c82c64b2c33ff3de0b913f0fd0779b8",1247793
"782ee33896a06624ecc36ba869fde875",1245019
"cd841c5ad41d00c8e9b10a66a4ee9411",1235156
"aa9af0c2751c3b7268cd2bcde0117a9c",1240125
"83b661c7f9b4b8c272700f89013286d9",1247299
"6982ff67ce6c2af0171b5c6f8b30f8cd",1242909
"dcbad39bc1b5fa9354c3ff49b5d3a03d",1245868
"904aef1579471cd0cbec916b01b68688",1248612
"305e88f5d6ba854ebae9626474ab8b9e",1238112
"4742af9b9c5e36b8283532334d9bd7b7",1242758
"668fa26045c41018a0e6c921c3433899",1239722
"bc1947e4a13f89f191723befacff91fe",1240087
"caf1089c791a5be02695f303c630e578",1248677
"00f0d1c9728b416f86aa35bb051ef810",1240117
"a291993d1ac481a4e63ac4a5b75958a0",1235007
"4ce617a2364a3519291e8fa5e9847c80",1247760
"8b7cfd5d11540ef616e1aa0037fb3187",1247405
"cb8cf4c9780d2975f89c5b2b9487d652",1249358
"8fbf96e42f5a0e2b2c5b92cf4e27d363",1247025
"607e24b0bcbae8a1a3f49963b934316f",1246732
"a79a5686af95050629ad250de30d0b0e",1237356
"aacabdba5b1a020f0947f4f1fb6b87a8",1243370
"c40734df98209f276bf0d7772b50b30c",1244920
"404542a38c1f05835bde4c0e260a7984",1244152
"67cc978ddd97427ebdf7788835502535",1243919
"7354b8e6edcdaf9ee91da4033ee5278f",1240108
"f3ca9401fc9c839f22a28b74dcd88717",1240936
"b4b14781cbbe10db745add1a23136fe8",1244853
"cec1f35b6e2e96eb485fdb25c33fb919",1241765
"c84273b6ad0740c69420b8fbf416503c",1244599
"77c1a12f4aa678a3744ee1b490529c91",1240805
"a2860a19c84cab8dadaf69745f30ee28",1243977
"97753b97ef455afe26a0d821b9f8cc43",1244068
"61310eb76aaf64efb3c82973978b97d3",1237393
"394fca06b82f293c268cd6e4cbf4efca",1247355
"3cd664dbd335e8054442d3856ddaa55c",1244148
"9f283db10e9f068d1bc56f2f18a3a28f",1248457
"ef7a90df2106b341142454585920ac92",1247782
"ea439508132f2046420eccf118596880",1246782
"f63fc93e769e5330d50867f1562e3299",1244349
"c95f66386f8ab1f3afccfe5fcadb0d1c",1237890
"2c34d1a362d88b89f9d1c84c0d53c439",1248638
"db8d4150f799f970c8a4c9bfe43a6260",1241398
