"CLIENT_ISO_CODE","CITY","ZIPCODE","LONGITUDE","LATITUDE","id_cp"
"RO","Cluj-Napoca","400001",23.6,46.7667,1252340
"PH","Paranaque City","1709",122.0266,15.439,1252341
"GB","FAVERSHAM","ME13 7BE",0.8936,51.3183,1252342
"CA","Verdun","H4G1C8",-73.5759,45.4606,1252343
"AT","Wattens","6112",11.6,47.2833,1252344
"CA","Woodbridge","L4L3M3",-79.593,43.8066,1252345
"DE","Viersen","41749",6.3871,51.2852,1252346
"GB","Maidstone","ME17 4PR",0.4948,51.2324,1252347
"ES","SAN SEBASTIAN","20006",-1.982,43.3136,1252348
"GB","London","N6 5RY",-0.1437,51.5753,1252349
"US","FREEPORT","04032",-70.1031,43.857,1252350
"GB","Towcester","NN12 6LY",-0.9771,52.122,1252351
"NL","Berlicum","5258 HJ",5.4021,51.6766,1252352
"NO","OSLO","0364",10.7823,59.8457,1252353
"US","Somerville","08876",-74.6874,40.588,1252354
"GB","marlow","SL7 3RZ",-0.7411,51.5843,1252355
"US","Alexandria","22305",-77.064,38.8372,1252356
"CH","CAPRIASCA","6954",8.9488,46.0801,1252357
"GB","Croydon","CR0 0JD",-0.0141,51.341,1252358
"FR","Lagny sur Marne","77400",2.7167,48.8667,1252359
"BE","Destelbergen","9070",3.8043,51.0281,1252360
"US","Oklahoma City","73159",-97.5567,35.3922,1252361
"GB","London","SW12 8AX",-0.1516,51.4464,1252362
"IE","Virginia","A82 W5Y9",-6.8792,53.7264,1252363
"AR","Manuel alberti, Pilar","1669",-58.8,-34.45,1252364
"IT","Amantea","87032",16.0751,39.1266,1252365
"PL","Janów Lubelski","23-300",22.498,50.5894,1252366
"DE","Huenfeld","36088",9.7673,50.6797,1252367
"GB","Abingdon","OX14 1LZ",-1.2843,51.6848,1252368
"US","Round Lake Park","60073",-88.0888,42.3668,1252369
"FR","Ychoux","40160",-1.1469,44.3265,1252370
"GB","St. Neots","PE19 8EF",-0.2891,52.2177,1252371
"ES","Llera","06227",-6.0785,38.4641,1252372
"IE","Naas","W91 A7D4",-6.6669,53.2158,1252373
"DZ","Birkhadem","16000",3.1122,36.7409,1252374
"GB","RUISLIP","HA4 8TA",-0.4022,51.5789,1252375
"FR","Bourg Saint Andiol","07700",4.5019,44.3924,1252376
"LV","Slampe","3119",23.2965,56.8495,1252377
"SE","halmstad","30270",12.8568,56.6745,1252378
"NL","vleuten","3451 st",5.0259,52.1027,1252379
"GB","Chigwell","IG7 4BT",0.0992,51.6102,1252380
"US","Hialeah","33012",-80.3059,25.8654,1252381
"CA","vancouver","V6R2G1",-123.1833,49.2633,1252382
"CA","Norwich","N0J1P0",-80.597,42.9809,1252383
"GB","Cheshunt","EN8 0HX",-0.05,51.7126,1252384
"GB","Dartford","DA1 1RZ",0.2261,51.4431,1252385
"NL","Aalsmeer","1432 DD",4.7837,52.2687,1252386
"PT","Lisboa","1170-374",-9.1333,38.7167,1252387
"GB","Exeter","EX4 3FF",-3.5367,50.7201,1252388
"NL","Leeuwarden","8932 HS",5.7963,53.1923,1252389
"GB","Bristol","BS2 9HA",-2.5843,51.4604,1252390
